Records/eventVersion,Records/userIdentity/type,Records/userIdentity/principalId,Records/userIdentity/arn,Records/userIdentity/accountId,Records/userIdentity/accessKeyId,Records/userIdentity/userName,Records/userIdentity/sessionContext/attributes/creationDate,Records/userIdentity/sessionContext/attributes/mfaAuthenticated,Records/eventTime,Records/eventSource,Records/eventName,Records/awsRegion,Records/sourceIPAddress,Records/userAgent,Records/requestParameters/bucketPolicy/Version,Records/requestParameters/bucketPolicy/Statement/0/Sid,Records/requestParameters/bucketPolicy/Statement/0/Effect,Records/requestParameters/bucketPolicy/Statement/0/Principal/Service,Records/requestParameters/bucketPolicy/Statement/0/Action,Records/requestParameters/bucketPolicy/Statement/0/Resource,Records/requestParameters/bucketPolicy/Statement/1/Sid,Records/requestParameters/bucketPolicy/Statement/1/Effect,Records/requestParameters/bucketPolicy/Statement/1/Principal/Service,Records/requestParameters/bucketPolicy/Statement/1/Action,Records/requestParameters/bucketPolicy/Statement/1/Resource,Records/requestParameters/bucketPolicy/Statement/1/Condition/StringEquals/s3:x-amz-acl,Records/requestParameters/bucketName,Records/requestParameters/Host,Records/requestParameters/policy,Records/responseElements,Records/additionalEventData/SignatureVersion,Records/additionalEventData/CipherSuite,Records/additionalEventData/bytesTransferredIn,Records/additionalEventData/AuthenticationMethod,Records/additionalEventData/x-amz-id-2,Records/additionalEventData/bytesTransferredOut,Records/requestID,Records/eventID,Records/readOnly,Records/resources/0/accountId,Records/resources/0/type,Records/resources/0/ARN,Records/eventType,Records/managementEvent,Records/recipientAccountId,Records/vpcEndpointId,Records/eventCategory,Records/requestParameters/publicAccessBlock,Records/requestParameters/PublicAccessBlockConfiguration/xmlns,Records/requestParameters/PublicAccessBlockConfiguration/RestrictPublicBuckets,Records/requestParameters/PublicAccessBlockConfiguration/BlockPublicPolicy,Records/requestParameters/PublicAccessBlockConfiguration/BlockPublicAcls,Records/requestParameters/PublicAccessBlockConfiguration/IgnorePublicAcls,Records/userIdentity/invokedBy,Records/requestParameters/acl,Records/sharedEventID,Records/requestParameters/name,Records/sessionCredentialFromConsole,Records/requestParameters/s3BucketName,Records/requestParameters/includeGlobalServiceEvents,Records/requestParameters/isMultiRegionTrail,Records/requestParameters/isOrganizationTrail,Records/responseElements/name,Records/responseElements/s3BucketName,Records/responseElements/includeGlobalServiceEvents,Records/responseElements/isMultiRegionTrail,Records/responseElements/trailARN,Records/responseElements/logFileValidationEnabled,Records/responseElements/isOrganizationTrail,Records/requestParameters/includeShadowTrails,Records/errorCode,Records/errorMessage,Records/requestParameters/versioning,Records/requestParameters/trailName,Records/requestParameters/resourceIdList/0,Records/requestParameters,Records/requestParameters/eventSelectors/0/readWriteType,Records/requestParameters/eventSelectors/0/includeManagementEvents,Records/responseElements/eventSelectors/0/readWriteType,Records/responseElements/eventSelectors/0/includeManagementEvents
"1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:10:09Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,86.163.217.0,""[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.141-78.230.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard]"",2012-10-17,AWSCloudTrailAclCheck20150319,Allow,cloudtrail.amazonaws.com,s3:GetBucketAcl,arn:aws:s3:::aws-cloudtrail-logs-617479577492-ae07ea3c,AWSCloudTrailWrite20150319,Allow,cloudtrail.amazonaws.com,s3:PutObject,arn:aws:s3:::aws-cloudtrail-logs-617479577492-ae07ea3c/AWSLogs/617479577492/*,bucket-owner-full-control,aws-cloudtrail-logs-617479577492-ae07ea3c,s3.us-east-2.amazonaws.com,,,SigV4,ECDHE-RSA-AES128-GCM-SHA256,814,AuthHeader,DZX0bRTO6IIdpoBkLXVJ7F34gnbNYV8Qqi9Fdn49bWzbRKToqfaWADuyiR66ChBs3MGCAYJTVoE=,0,1GK4RQ7CJP3BVGZZ,7c818638-1a01-4d82-96ba-50fe66aa3c9c,false,617479577492,AWS::S3::Bucket,arn:aws:s3:::aws-cloudtrail-logs-617479577492-ae07ea3c,AwsApiCall,true,617479577492,vpce-16a4477f,Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:10:09Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-2,86.163.217.0,""[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.141-78.230.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard]"",,,,,,,,,,,,,aws-cloudtrail-logs-617479577492-ae07ea3c,s3.us-east-2.amazonaws.com,,,SigV4,ECDHE-RSA-AES128-GCM-SHA256,287,AuthHeader,dG0YfLulMXc19Iuhp1dFUihX12FowYQThzWH4zrnSn63W6MGUI+BvcJmSe61IeIu1HYVxIO1N74=,0,1GK8T6ZMSDYN8WCP,47dfbf04-c150-4858-8a29-0ac34fc3e825,false,617479577492,AWS::S3::Bucket,arn:aws:s3:::aws-cloudtrail-logs-617479577492-ae07ea3c,AwsApiCall,true,617479577492,vpce-16a4477f,Management,,http://s3.amazonaws.com/doc/2006-03-01/,true,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,"
1.08,AWSService,,,,,,,,2021-10-22T23:10:09Z,s3.amazonaws.com,GetBucketAcl,us-east-2,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,,,,,,,,,,,,aws-cloudtrail-logs-617479577492-ae07ea3c,aws-cloudtrail-logs-617479577492-ae07ea3c.s3.us-east-2.amazonaws.com,,,SigV4,ECDHE-RSA-AES128-GCM-SHA256,0,AuthHeader,OLjlgeQNQ+3et2BKQp5Ov6guYrrie7mAhX4FX+xKbIJ9oHiXAekOYw2HeVbFQmZISdY+m1Q3mNM=,480,1GKCA07S1TVGJBPY,49b3fd2c-7033-49b9-9641-98d4d4b6e65f,true,617479577492,AWS::S3::Bucket,arn:aws:s3:::aws-cloudtrail-logs-617479577492-ae07ea3c,AwsApiCall,true,617479577492,vpce-058e2d72554483985,Management,,,,,,,cloudtrail.amazonaws.com,,5db500da-447d-45de-89b8-21fbe5cd0af3,,,,,,,,,,,,,,,,,,,,,,,,
1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:10:10Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-2,86.163.217.0,console.amazonaws.com,,,,,,,,,,,,,,,,,,,,,,,4bf18d47-97f5-438d-aeb3-f54bde4e5fda,1aa110f0-6d28-43f7-9ce3-ace57fdcff1f,true,,,,AwsApiCall,true,617479577492,,Management,,,,,,,,,,arn:aws:cloudtrail:us-east-2:617479577492:trail/Udacity_Trail,true,,,,,,,,,,,,,,,,,,,,,,
1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:10:09Z,cloudtrail.amazonaws.com,CreateTrail,us-east-2,86.163.217.0,console.amazonaws.com,,,,,,,,,,,,,,,,,,,,,,,b03ea905-1eef-4b89-acf7-d5e61c11cbdf,973a30d2-5e94-49d6-92f1-07f217b12bd0,false,,,,AwsApiCall,true,617479577492,,Management,,,,,,,,,,Udacity_Trail,true,aws-cloudtrail-logs-617479577492-ae07ea3c,true,true,false,Udacity_Trail,aws-cloudtrail-logs-617479577492-ae07ea3c,true,true,arn:aws:cloudtrail:us-east-2:617479577492:trail/Udacity_Trail,false,false,,,,,,,,,,,
1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:10:09Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,86.163.217.0,console.amazonaws.com,,,,,,,,,,,,,,,,,,,,,,,22d86551-6c11-40b0-8870-43e4449881a6,103897af-4f5a-4c79-9d49-55ff4c3b6233,false,,,,AwsApiCall,true,617479577492,,Management,,,,,,,,,,Udacity_Trail,true,,,,,,,,,,,,,,,,,,,,,,
1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:10:10Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-2,86.163.217.0,console.amazonaws.com,,,,,,,,,,,,,,,,,,,,,,,febebe2f-9da3-4004-82a5-2ec2d0742ba5,e67a5815-0539-48e2-a1c0-f818408426ef,true,,,,AwsApiCall,true,617479577492,,Management,,,,,,,,,,,true,,,,,,,,,,,,true,,,,,,,,,,
"1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KIDWONKM6,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:11:21Z,s3.amazonaws.com,GetBucketVersioning,us-east-2,86.163.217.0,""[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.141-78.230.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/standard]"",,,,,,,,,,,,,aws-cloudtrail-logs-617479577492-ae07ea3c,s3.us-east-2.amazonaws.com,,,SigV4,ECDHE-RSA-AES128-GCM-SHA256,0,AuthHeader,iQfHvf8mID+2D28bhMfMi2VDlVvV49YWCH6LU3QzdfxGXPe610eeXlD9Jtfj9BabAOnzk14c7GE=,243,TZ48W4T2Z18SZYVA,adf1ae65-22b2-4419-af82-368c06917c2c,true,617479577492,AWS::S3::Bucket,arn:aws:s3:::aws-cloudtrail-logs-617479577492-ae07ea3c,AwsApiCall,true,617479577492,vpce-eca44785,Management,,,,,,,,,,,,,,,,,,,,,,,,AccessDenied,Access Denied,,,,,,,,"
1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:12:22Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-2,86.163.217.0,console.amazonaws.com,,,,,,,,,,,,,,,,,,,,,,,12574982-4cae-43b7-bf49-d62864f304b7,56e5a360-b899-4181-96b2-a3a080a255f5,true,,,,AwsApiCall,true,617479577492,,Management,,,,,,,,,,arn:aws:cloudtrail:us-east-2:617479577492:trail/Udacity_Trail,true,,,,,,,,,,,,,,,,,,,,,,
1.08,IAMUser,AIDAY7RFGT6KBKJ3HTXPP,arn:aws:iam::617479577492:user/CloudTrail,617479577492,ASIAY7RFGT6KF6DCEZ6C,CloudTrail,2021-10-22T23:06:55Z,false,2021-10-22T23:12:22Z,cloudtrail.amazonaws.com,GetEventSelectors,us-east-2,86.163.217.0,console.amazonaws.com,,,,,,,,,,,,,,,,,,,,,,,58e844fb-9162-40ca-b165-e6c6b3e0c452,2da6a5ab-4acb-4423-8950-58bf980b73a3,true,,,,AwsApiCall,true,617479577492,,Management,,,,,,,,,,,true,,,,,,,,,,,,,,,,arn:aws:cloudtrail:us-east-2:617479577492:trail/Udacity_Trail,,,,,,
